"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Botswana","BWA","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","72322789.39782","96693335.1","146934784.09721","261115104.39532","334034853.69243","236697744.78562","276051707.38466","376231861.48143","453826982.7","758347244.57737","1161484192.1","2012954512.6","2217139651","2790998920.8","3331456134.2","3718662646.5","3793418750","4097336754.32","4401465717.12535","4695481284.29641","5027655480.66028","5675003312.36175","5940671691.23981","6228826924.54949","6318214103.68374","5897250168.59793","5473918633.99504","5339775856.25697","5661431166.15447","6309056604.95908","7992391823.8676","9789741166.36125","9118641547.81715","8703960266.38205","7885214846.65138","8081886378.33778","7627972597.89364","7726052557.24","8322776785.14574","7546144894.91366","7188821600.26446",
"Central African Republic","CAF","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","600000","1760000","7132999.999347","10162999.999347","6422999.999227","4752999.999097","4697251.47291766","1196210.61997478","1388412.38997775","210642.154195438","1718483.888481","1782990.29830987","1743214.1055608","3828946.54050419","18828691.0837521","26274565.5809711","26054770.3588595","49946026.3119138","61698156.5106728","73805739.9000453","51578535.441998","51141006.9271258","56097887.9921697","53253229.0914594","69693548.2312936","102100335.426217","113027568.239744","117515571.614961","122909413.974841","106910593.401572","103830263.093098","116326747.138508","214276442.196926","237946018.012732","236343698.394002","181786252.80428","148903856.327236","139507412.16895","136311955.890091","121827806.712449","127052247.223221","137053605.685194","153195700.315855","144923650.475733","132419815.92364","91867875.2959977","131466501.058","210590011.769174","181175440.671125","154510979.806564","157902473.864289","193663726.980403","259571703.84619","213800566.857602","239797979.572947",
"Canada","CAN","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","2012986399.82219","2296085099.78786","2561922009.97976","2615182919.97665","2893026719.77319","3040845599.61372","2707536059.52166","2722684399.53761","3215953999.76914","3111279599.49699","4732515669.12572","5828796874.59557","6640225037.01882","7305439390.25234","8978681124.59827","7504994772.37201","7876979057.00699","7301920192.4","8558511235.1716","14219997901.5587","15461829328.5907","11671921351.9048","12269213051.4844","11161312990.808","8699532907.47986","9077365124.95451","10961345918.4","16241918394.2","22421923484","22511812468.8","23529521612.2","20836198488.2","14744859750","14845681708.39","13774518645.6874","16369370359.7301","21562306887.7352","18718497046.5253","24023259570.9533","28650282079.8684","32427273432.4608","34252696054.1769","37189380242.4866","36267580380.1304","34476392654.5784","33018048281.2194","35063089703.1612","41082110729.4423","43872317177.7861","54356325867.6258","57151120473.5159","65819020598.9898","68546344304.6514","71937092647.18","74700002863.9467","79753516721.2641","82718098071.0361",
"Central Europe and the Baltics","CEB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","2361507999.93757","2769871000","2924333999.9238","3128395599.91943","3330443199.92214","3454279199.91309","3560372299.91883","3713751999.91174","4810242999.92503","4440247999.92451","5316981099.92197","7434089300","9792839000","14346200000","20962552960.2778","18687775439.7869","20828006521.5643","24025727277.727","36583415775.1139","59072607352.1048","64748105399.2285","47081830286.7343","53509636201.6567","46804203944.845","40970392982.1146","45247876165.3765","54339286353.0671","67790688919.4852","58367104657.3195","58670269033.6929","61284432318.355","58450951445.767","61006846648.5685","65167424226.1276","66645255446.6323","68620322745.0903","69182554318.1445","63195011189.6099","65157806700.6487","60492108680.0083","53620272484.598","51549538227.8695","61276107298.0156","69563021941.1916","74567880727.7481","57575302852.4515","64461047917.6955","75172321688.4108","74145636290.011","134565686962.811","270479800683.031","330585901719.472","531302253382.241","536235292234.498","545787304073.241","602402482145.859","678909388702.545",
"Channel Islands","CHI","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","111781599.998714","74114900","78890609.998777","76908079.998774","88838079.998766","137535119.998749","172330289.998709","126567199.998714","217433699.998677","343660799.998646","391661579.976856","228797815.86171","184721777.09799","276042031.99968","309258542.98622","237806163.77907","585119152.35172","651475701.5","1404230665.74098","2718629029.64091","4127728306.03279","3889888211.51929","2597196070.8101","2036312731.49483","2303197863.3","2449907557.59972","3052961210.4","3380934134.8","3908809901","4331116526.4","6783811635.4","7700029232.2","9789837750","10368846509.95","13801961382.0623","14859706891.6763","15659156501.2128","18112424721.9905","16221029302.3377","14970635738.8626","15055115792.0262","14399463637.5761","15343860930.313","15842927329.2191","15997302039.9161","16933298422.4339","19396986797.8572","16843397675.9068","23079229575.1183","25292078550.1043","27827446020.7796","41943894922.694","41649256374.3085","41093253504.02","40447384439.2193","38641176013.7171","40493292496.2569",
"China","CHN","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","4456360000","4449800000","8707600000","10090779282.078","10106340306.1637","17151500966.5934","19831699862.0122","21281444019.7873","16881048465.4579","16417424035.4","22453016123.4","23751516912","23052563425.6","34475663084","48165018404.7","24852632500","27348105440.32","57781339993.1363","80288434062.0934","111728906872.272","146448005965.839","152842972623.563","161414044709.396","171763102729.31","220056778197.421","297739464635.059","416199410848.774","622948552457.504","831409627748.453","1080755680184.47","1546364662907.18","1966037431955.09","2452899056407.32","2913711653593.96","3254674122432.29","3387512975176.91","3880368275098.62","3900039358441.22","3405253357702.25","3097658396171.59",
"Cote d'Ivoire","CIV","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","37700000","42300000","40099999.9985","61799999.9985","62399999.9983","71099999.9981","80699999.9979","73899999.9975","118839999.98606","89433413.3899539","87177451.8064899","88373421.4705485","65667321.422936","102759930.057674","76402739.6058184","188503122.921328","455537122.203895","169815008.241965","45936952.2075051","35535685.7210431","22527500.3613374","36698101.8411243","19086371.4708924","19283861.5463647","36950901.2425681","30444393.723158","28673924.5761628","32830833.8653276","21120874.6134205","29091301.253843","21769480.345544","19643561.0283448","221347622.127666","529015472.337827","605773776.547539","618369424.477325","855478344.904337","630373881.902675","673901638.385844","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","19240000","20300000","27710000","34880000","35889999.9981","26699999.9981","33699999.9979","24349999.9977","40850759.3181133","48085555.7218495","80807414.2136863","73602990.6947632","43637724.8612166","51153285.4229875","78527123.1375926","28827904.0803236","43803712.614238","44862702.9676002","55673716.9169534","140905968.709979","206367186.477517","96992201.6790355","80797017.7489475","170415572.608481","63101792.0010904","142274717.290154","70742490.0354764","78283064.5827715","188154481.863674","91892957.4214237","37075060.8137649","53628533.0005792","30352642.5557523","14152081.4101589","13740920.5327739","15372105.2189388","13833211.255597","9555390.48488356","9911704.02530748","13121972.7064849","220219427.037904","340115355.237894","639930322.713203","652135227.223115","842430193.022315","964745502.458708","1735263255.04993","2931745516.82006","3112861316.73991","3675521573.85981","3642642678.14138","3198717824.28446","3380703263.90809","3471999844.7987","3168216936.52009","3536255056.64692","2225708749.60409",
